   Department,Year,    Age ,Gender,PR,PJS,AFF,AG,ABD,DA,TA,SC,LI,MP,FE,CWC,CWP,FP,LL,TD,IR,NG,PTJI,SI,AP,SPI,SV,MD,SP,Level
Agriculture,4,21,Male,3,5,1,5,5,4,5,2,2,4,3,1,2,4,2,4,4,1,4,3,4,2,5,4,5,3.36
Animal Husbandry,4,23,Male,3,3,3,3,3,4,3,4,4,4,4,4,4,3,4,4,3,3,4,3,3,4,4,4,4,3.56
BFA,3,21,Female,2,3,3,1,3,3,2,4,5,4,3,4,3,3,2,5,3,5,3,3,3,3,3,4,4,3.24
Biotechnology,2,23,Male,3,5,3,5,5,1,5,5,5,4,3,5,5,5,5,5,5,3,5,5,4,5,4,5,5,4.4
Botany,4,24,Male,3,2,3,3,3,3,3,3,3,4,3,2,3,4,3,3,2,2,3,3,3,3,3,3,3,2.92
BUSINESS MANAGEMENT ,4,32,Male,5,4,3,4,3,3,4,5,5,4,5,3,3,3,4,4,4,4,4,3,3,3,3,4,4,3.76
CSE,4,24,Male,3,5,5,4,5,3,5,5,5,4,5,4,4,5,4,4,3,4,5,3,4,4,3,4,4,4.16
CSE,2,23,Male,5,3,1,4,2,5,5,5,5,4,3,4,4,3,5,4,2,2,3,2,2,4,4,4,4,3.56
Dairy Science,4,23,Male,4,4,2,3,4,2,5,3,3,4,4,2,3,2,3,3,2,4,5,4,2,1,4,4,5,3.28
Dairy Science,4,23,Male,3,5,4,4,4,4,5,4,4,4,4,2,2,4,4,4,4,3,4,4,1,1,3,3,4,3.52
Dairy Science,4,23,Male,3,3,3,2,2,2,5,4,4,4,3,2,5,5,5,2,1,1,3,3,3,5,3,3,3,3.16
DVM,4,24,Male,2,2,4,4,2,3,2,4,3,4,1,1,1,4,3,4,4,3,2,2,1,1,2,3,3,2.6
EEE,3,22,Male,3,1,3,4,4,2,5,5,3,4,4,3,1,5,3,5,1,4,4,4,1,2,3,4,5,3.32
EEE,4,24,Male,3,3,5,4,5,3,5,4,4,4,3,4,3,3,3,4,4,4,4,3,3,3,3,4,4,3.68
ENGLISH,2,21,Female,3,2,1,2,3,3,4,3,3,4,4,4,4,2,3,3,4,3,4,3,3,4,4,3,4,3.2
FES,3,21,Male,3,4,3,3,3,4,5,4,2,4,5,3,5,3,2,4,3,4,3,2,3,5,5,5,5,3.68
FnB,3,22,Male,1,2,2,2,2,1,5,5,2,4,4,3,2,5,3,5,2,5,4,3,2,2,3,4,5,3.12
Forestry & Wood Technology,3,23,Male,1,3,3,5,5,2,5,5,4,4,3,5,3,2,5,5,4,3,3,3,2,3,2,4,5,3.56
Human Resource Management,1,21,Male,3,3,3,2,3,1,4,5,2,4,4,3,5,3,4,3,2,3,3,3,4,5,4,4,4,3.36
ICE,2,20,Male,2,2,2,2,1,4,4,4,3,4,4,3,4,5,4,3,2,2,4,2,4,4,4,4,4,3.24
Industrial and production engineering,1,21,Male,3,4,5,5,3,2,5,5,4,4,4,3,5,2,5,4,2,4,5,4,5,5,2,5,5,4
IPE,2,21,Male,3,4,3,4,4,4,4,4,5,4,4,3,4,4,5,4,2,3,5,4,3,2,5,4,3,3.76
IPE,2,20,Female,4,4,4,3,4,5,4,4,4,4,5,3,4,3,3,4,3,3,4,4,4,4,4,5,4,3.88
Islamic studies,2,20,Female,3,2,3,3,4,3,4,4,4,4,3,3,2,3,3,4,2,2,2,2,2,2,3,5,4,3.04
Islamic studies,2,21,Male,3,3,3,3,5,5,4,5,2,4,1,2,4,5,2,4,2,2,4,3,4,3,2,4,4,3.32
Islamic Studies ,4,21,Male,3,3,3,4,3,3,4,5,4,4,3,3,4,3,4,4,1,2,2,3,3,3,3,4,4,3.28
Law,4,21,Female,3,3,3,4,5,5,3,5,4,4,4,1,3,3,3,4,4,4,3,3,4,4,4,5,4,3.68
Mathematics,4,24,Male,3,3,1,2,5,3,3,4,4,4,2,4,4,2,2,2,2,2,2,2,2,3,3,5,4,2.92
Mathematics,4,24,Male,3,3,3,3,5,3,4,3,3,4,3,3,3,4,3,5,3,4,4,3,4,3,3,5,4,3.52
Mathematics,4,24,Male,4,2,2,2,4,4,4,3,2,4,1,4,2,2,2,2,2,2,2,2,2,2,4,3,3,2.64
ME,1,20,Male,3,3,3,2,3,4,3,2,2,4,2,1,4,4,3,4,1,2,3,5,2,4,5,4,4,3.08
Mechanical Engineering,1,20,Male,2,3,4,4,3,2,5,5,5,4,4,2,4,4,4,5,2,2,4,3,1,2,4,4,4,3.44
Microbiology,4,24,Female,1,1,3,3,3,4,3,3,3,4,4,2,2,3,2,3,1,2,3,2,2,2,2,4,3,2.6
MPE,2,22,Male,3,4,3,4,4,3,4,4,4,4,4,2,5,5,2,3,4,3,3,4,3,5,5,4,4,3.72
MPE,1,21,Male,3,4,4,4,4,3,5,4,4,4,3,3,3,4,4,4,3,4,5,4,3,4,4,4,4,3.8
MPE,1,21,Male,3,3,4,4,4,3,4,5,3,4,3,3,4,3,2,3,2,3,3,2,5,4,3,3,5,3.4
MPE,1,18,Female,1,4,4,2,5,3,4,5,5,4,3,5,3,4,2,2,3,2,4,1,2,3,4,3,4,3.28
Pharmacology,4,23,Male,2,2,3,4,3,3,3,4,5,4,4,4,5,5,2,3,2,3,2,3,3,5,3,4,4,3.4
PHI,4,25,Male,2,5,3,4,3,3,3,4,4,4,4,4,4,4,2,4,4,4,3,4,4,2,4,4,4,3.6
Physics,3,20,Male,3,2,3,4,3,2,5,4,5,4,1,3,4,2,4,4,4,3,4,4,4,4,4,5,4,3.56
Physics,3,23,Male,3,3,3,4,3,4,4,4,5,4,2,3,4,3,2,4,3,3,3,2,3,5,4,4,4,3.44
Physics,3,21,Male,4,4,5,5,4,2,4,4,5,4,4,3,4,1,2,5,2,4,3,4,3,3,2,4,4,3.56
Physics,2,20,Male,3,3,4,4,5,2,4,4,4,4,3,3,3,2,1,5,3,4,3,3,3,3,3,5,4,3.4
Physics,2,20,Male,3,4,3,2,3,2,3,5,5,4,2,2,4,2,3,5,3,3,4,3,4,5,3,4,3,3.36
Physics,4,23,Male,2,4,1,3,3,2,3,4,4,4,2,4,2,5,3,3,3,1,3,2,3,3,4,4,4,3.04
Physics,4,23,Male,1,1,5,3,4,3,4,4,2,4,3,2,5,4,4,2,1,2,4,3,1,4,4,5,5,3.2
SWE,1,20,Male,4,2,5,3,4,5,4,3,2,4,4,4,1,5,2,4,4,3,4,4,4,4,4,5,5,3.72
Veterinary Science,4,24,Female,5,5,5,4,5,4,4,4,4,4,5,3,4,3,4,5,4,4,4,3,4,4,4,4,4,4.12
Veterinary Science,4,23,Male,3,3,4,3,5,4,3,4,3,4,3,4,3,4,3,5,4,3,5,3,3,3,3,4,4,3.6
Veterinary Science,4,25,Male,3,3,5,2,4,2,3,5,3,4,3,2,2,2,2,4,2,2,2,2,4,2,2,3,5,2.92
Veterinary Science,4,22,Male,4,4,4,4,4,2,4,4,2,4,2,2,2,4,2,4,2,2,2,4,2,4,2,2,4,3.04
AET,3,22,Male,3,3,3,3,5,3,5,4,4,5,4,3,4,3,3,3,2,2,3,3,3,5,4,4,4,3.52
AET,3,22,Male,1,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,4.2
Agriculture,4,28,Male,3,4,3,2,5,3,5,4,4,5,2,4,2,4,4,4,2,4,3,2,4,2,2,5,4,3.44
Agriculture,4,23,Male,3,3,5,5,3,3,5,3,4,5,4,5,5,3,3,5,4,5,3,4,5,5,4,4,4,4.08
Agriculture,4,22,Male,4,3,4,4,3,3,5,5,4,5,5,3,4,4,3,4,3,3,4,4,4,4,3,4,5,3.88
Agriculture,4,21,Male,3,3,5,3,3,2,5,4,3,5,5,5,5,5,4,2,3,5,5,4,5,5,3,5,5,4.08
Agriculture,3,20,Male,4,3,3,3,2,2,4,4,4,5,5,4,4,4,5,3,4,3,5,4,5,4,4,4,5,3.88
Agriculture,4,23,Male,2,3,3,3,4,4,4,4,3,5,5,2,4,5,3,5,5,4,3,3,2,2,3,5,4,3.6
Agriculture,4,21,Female,3,2,1,3,4,5,5,5,5,5,4,4,3,2,5,5,5,4,2,3,5,3,4,5,5,3.88
BBA,3,22,Male,3,4,3,4,3,4,5,5,4,5,4,4,5,5,4,4,5,5,4,5,5,5,4,4,5,4.32
BBA,3,24,Male,3,3,3,3,3,4,4,3,4,5,5,3,5,4,5,3,3,3,3,3,3,3,1,1,3,3.32
CSE,1,20,Male,2,2,3,3,2,4,4,5,5,5,5,5,4,3,3,5,5,4,2,2,5,5,5,5,5,3.92
Dairy Science,4,23,Male,3,5,2,4,3,4,3,4,3,5,4,2,4,3,5,3,3,2,3,2,5,4,4,4,5,3.56
Econ,3,22,Male,3,5,3,1,1,2,5,4,4,5,2,2,5,3,4,5,4,3,3,2,3,3,5,4,1,3.28
EEE,3,22,Male,4,4,3,4,3,2,5,3,4,5,5,4,4,5,5,5,3,4,5,4,5,3,3,5,5,4.08
EEE,3,23,Male,3,3,5,5,3,3,3,4,4,5,2,3,4,4,5,5,3,5,5,5,3,4,5,5,5,4.04
EEE,1,20,Male,1,1,3,1,1,1,3,5,5,5,5,5,3,2,3,3,3,1,1,1,4,3,4,5,5,2.96
Entomology,4,24,Male,3,5,2,5,5,5,5,5,4,5,5,4,1,5,5,4,4,3,4,4,5,1,2,5,5,4.04
Environmental Sciences,4,23,Female,3,4,4,4,4,3,4,5,4,5,2,3,4,5,4,3,3,4,4,3,4,4,3,4,4,3.76
Fisheries & Marine Science,3,21,Male,3,1,5,2,1,2,4,4,4,5,5,5,5,5,5,3,2,3,5,1,5,5,3,2,5,3.6
Forestry & Wood Technology,3,23,Male,2,5,5,5,4,1,3,5,5,5,5,3,5,3,3,5,2,3,3,3,5,4,4,4,5,3.88
Forestry & Wood Technology,3,22,Male,1,5,2,4,2,4,4,4,5,5,5,4,4,4,4,2,4,3,4,4,2,4,2,4,5,3.64
Geography And Environment,2,20,Male,5,5,5,5,4,5,5,5,5,5,5,4,3,2,5,5,4,3,3,3,3,3,3,4,5,4.16
International Relations,4,23,Female,3,3,5,5,5,5,5,5,4,5,5,4,5,1,3,4,3,3,3,4,5,5,3,4,4,4.04
IPE,1,22,Male,1,1,1,5,5,1,5,5,4,5,5,2,5,5,3,5,2,3,4,5,5,5,4,5,5,3.84
L.L.B,2,21,Male,3,3,3,3,3,4,5,4,4,5,5,4,3,2,4,4,3,3,3,3,4,3,3,4,4,3.56
Management,2,19,Female,3,5,5,2,2,2,5,5,4,5,3,3,4,5,2,5,3,2,4,4,5,5,2,3,4,3.68
MCE,2,21,Male,1,1,3,2,1,1,5,4,5,5,2,1,5,1,3,5,1,1,5,5,5,5,3,5,5,3.2
ME,1,21,Female,4,3,4,5,5,5,4,5,5,5,5,5,5,3,5,4,3,3,3,3,5,5,4,5,5,4.32
MPE,2,20,Female,5,3,3,3,4,5,3,5,4,5,5,3,3,3,3,3,3,3,2,4,3,3,4,4,5,3.64
MPE,1,20,Male,3,3,3,4,5,2,4,5,5,5,4,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3.48
P.A,2,21,Male,5,3,5,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,5,5,5,3,3,4.52
Physics,3,21,Male,2,2,2,4,1,2,1,5,2,5,5,2,2,4,1,4,1,2,4,2,4,2,2,4,4,2.76
Physics,3,22,Male,1,5,1,1,2,3,5,4,4,5,5,5,2,4,1,4,2,2,5,1,2,1,4,2,5,3.04
Physics,4,25,Female,4,5,5,3,4,3,4,4,4,5,4,2,3,3,3,4,3,4,4,3,3,3,5,4,5,3.76
Physics,4,23,Male,5,5,5,5,5,5,4,3,3,5,5,5,3,1,3,1,3,4,5,4,5,2,3,3,4,3.84
Surgery and obstetrics,4,24,Male,3,3,5,5,5,3,5,4,4,5,3,5,5,3,3,4,2,4,3,4,3,5,2,2,4,3.76
Veterinary Science,4,24,Male,3,5,3,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,3,5,5,5,5,4.56
Veterinary Science,4,24,Male,3,3,5,4,2,3,5,4,5,5,3,2,3,3,2,3,2,2,5,3,4,4,2,3,4,3.36
